Year,Institution_raw,doctorate_by_research,masters_by_research,hdr_completions,hdr_has_suppressed_np,total_completions,source,HEP_Code,Institution_canonical,rbg_total,rbg_rtp,rbg_rsp_like,rbg_total_covid_adj
2017,Bond University,21.0,,21.0,True,1835.0,legacy_xls_table8,3003,Bond University ,3818892,1850761.0,1968131.0,3818892.0
2017,CQUniversity,47.0,8.0,55.0,False,3835.0,legacy_xls_table8,2200,Central Queensland University,5805057,3344697.0,2460360.0,5805057.0
2017,Griffith University,310.0,46.0,356.0,False,10682.0,legacy_xls_table8,3032,Griffith University,38818471,22303418.0,16515053.0,38818471.0
2017,James Cook University,130.0,,130.0,True,4607.0,legacy_xls_table8,1019,James Cook University,27049729,14167548.0,12882181.0,27049729.0
2017,Queensland University of Technology,330.0,95.0,425.0,False,11942.0,legacy_xls_table8,3042,Queensland University of Technology,52746006,30847741.0,21898265.0,52746006.0
2017,The University of Queensland,680.0,81.0,761.0,False,12580.0,legacy_xls_table8,3019,The University of Queensland,184605997,94632784.0,89973213.0,184605997.0
2017,University of Southern Queensland,72.0,,72.0,True,4096.0,legacy_xls_table8,2201,University of Southern Queensland,8313305,5244951.0,3068354.0,8313305.0
2017,University of the Sunshine Coast,34.0,2.0,36.0,False,2419.0,legacy_xls_table8,3043,University of the Sunshine Coast,5155268,2428891.0,2726377.0,5155268.0
2017,Curtin University,302.0,41.0,343.0,False,10546.0,legacy_xls_table8,2236,Curtin University,44098408,25318208.0,18780200.0,44098408.0
2017,Edith Cowan University,71.0,33.0,104.0,False,6068.0,legacy_xls_table8,2235,Edith Cowan University,11637219,7304450.0,4332769.0,11637219.0
2017,Murdoch University,98.0,,98.0,True,5305.0,legacy_xls_table8,1034,Murdoch University,18287694,10039304.0,8248390.0,18287694.0
2017,The University of Notre Dame Australia,23.0,,23.0,True,2656.0,legacy_xls_table8,3044,The University of Notre Dame Australia,1565690,819367.0,746323.0,1565690.0
2017,The University of Western Australia,298.0,59.0,357.0,False,6896.0,legacy_xls_table8,1055,The University of Western Australia,94929527,47829133.0,47100394.0,94929527.0
2017,Flinders University,119.0,10.0,129.0,False,5914.0,legacy_xls_table8,3029,Flinders University,28007339,15603441.0,12403898.0,28007339.0
