HEP_Code,Institution_raw,Year,Cohort,doctorate_by_research,masters_by_research,hdr_completions,hdr_has_suppressed_lt5,Institution_canonical,total_completions,rbg_total,rbg_rtp,rbg_rsp_like,rbg_total_covid_adj
3045,University of Tasmania,2008,non-aligned,108.0,32.0,140.0,False,University of Tasmania,,31652997,0.0,5670725.0,31652997.0
3016,University of Technology Sydney,2008,ATN,148.0,38.0,186.0,False,University of Technology Sydney,,18989168,0.0,2788664.0,18989168.0
3043,University of the Sunshine Coast,2008,RUN,6.0,2.0,8.0,True,University of the Sunshine Coast,,1099554,0.0,34825.0,1099554.0
1058,University of Wollongong,2008,non-aligned,121.0,52.0,173.0,False,University of Wollongong,,24669872,0.0,3851278.0,24669872.0
3007,Victoria University,2008,non-aligned,84.0,7.0,91.0,False,Victoria University,,8728808,0.0,596093.0,8728808.0
3004,Western Sydney University,2008,IRU,99.0,15.0,114.0,False,Western Sydney University,,13736695,0.0,1294280.0,13736695.0
3006,Australian Catholic University,2007,non-aligned,27.0,8.0,35.0,False,Australian Catholic University,,2466257,0.0,160986.0,2466257.0
3003,Bond University ,2007,non-aligned,13.0,0.0,13.0,False,Bond University ,,711761,0.0,35803.0,711761.0
2200,Central Queensland University,2007,RUN,21.0,12.0,33.0,False,Central Queensland University,,4690331,0.0,236786.0,4690331.0
3001,Charles Darwin University,2007,non-aligned,25.0,11.0,36.0,False,Charles Darwin University,,6651167,0.0,1477652.0,6651167.0
3005,Charles Sturt University,2007,RUN,36.0,2.0,38.0,True,Charles Sturt University,,6532405,0.0,962896.0,6532405.0
2236,Curtin University,2007,ATN,187.0,51.0,238.0,False,Curtin University,,24128735,0.0,2109523.0,24128735.0
3030,Deakin University,2007,ATN,127.0,10.0,137.0,False,Deakin University,,17965462,0.0,2269505.0,17965462.0
2235,Edith Cowan University,2007,non-aligned,53.0,28.0,81.0,False,Edith Cowan University,,7794861,0.0,543919.0,7794861.0
2154,Federation University Australia,2007,RUN,19.0,12.0,31.0,False,Federation University Australia,,3176122,0.0,207868.0,3176122.0
3029,Flinders University,2007,IRU,83.0,9.0,92.0,False,Flinders University,,21781493,0.0,2881409.0,21781493.0
3032,Griffith University,2007,IRU,158.0,16.0,174.0,False,Griffith University,,24585481,0.0,2546302.0,24585481.0
1019,James Cook University,2007,IRU,66.0,10.0,76.0,False,James Cook University,,16176951,0.0,1744663.0,16176951.0
3020,La Trobe University,2007,IRU,146.0,24.0,170.0,False,La Trobe University,,24585181,0.0,2799653.0,24585181.0
3025,Macquarie University,2007,non-aligned,153.0,36.0,189.0,False,Macquarie University,,22343966,0.0,3303523.0,22343966.0
3035,Monash University,2007,Go8,382.0,98.0,480.0,False,Monash University,,87979284,0.0,15625521.0,87979284.0
1034,Murdoch University,2007,IRU,75.0,12.0,87.0,False,Murdoch University,,19162836,0.0,2323094.0,19162836.0
