HEP Code,Higher Education Provider,Year,State/Territory,Cohort,Doctorate by Research,Masters by Research
1058,University of Wollongong,2022,NSW,non-aligned,219,35
3007,Victoria University,2022,VIC,non-aligned,77,24
3004,Western Sydney University,2022,NSW,IRU,127,67
3006,Australian Catholic University,2021,OTHER,non-aligned,36,5
2252,Avondale University ,2021,NSW,non-aligned,0,<5
2246,Batchelor Institute of Indigenous Tertiary Education,2021,NT,non-aligned,<5,0
3003,Bond University ,2021,QLD,non-aligned,31,<5
2200,Central Queensland University,2021,QLD,RUN,34,8
3001,Charles Darwin University,2021,NT,non-aligned,45,5
3005,Charles Sturt University,2021,NSW,RUN,52,6
2236,Curtin University,2021,WA,ATN,277,56
3030,Deakin University,2021,VIC,ATN,282,25
2235,Edith Cowan University,2021,WA,non-aligned,66,34
2154,Federation University Australia,2021,VIC,RUN,46,<5
3029,Flinders University,2021,SA,IRU,165,6
3032,Griffith University,2021,QLD,IRU,280,48
1019,James Cook University,2021,QLD,IRU,102,6
3020,La Trobe University,2021,VIC,IRU,169,52
3025,Macquarie University,2021,NSW,non-aligned,297,231
3035,Monash University,2021,VIC,Go8,808,62
1034,Murdoch University,2021,WA,IRU,91,25
3042,Queensland University of Technology,2021,QLD,non-aligned,323,120
3034,Royal Melbourne Institute of Technology,2021,VIC,ATN,340,37
3038,Southern Cross University,2021,NSW,RUN,48,8
2177,Swinburne University of Technology,2021,VIC,non-aligned,191,25
3033,The Australian National University,2021,ACT,Go8,352,32
3010,The University of Adelaide,2021,SA,Go8,313,63
3036,The University of Melbourne,2021,VIC,Go8,663,65
3044,The University of Notre Dame Australia,2021,WA,non-aligned,34,24
3019,The University of Queensland,2021,QLD,Go8,621,51
3040,The University of Sydney,2021,NSW,Go8,661,163
1055,The University of Western Australia,2021,WA,Go8,277,34
4449,Torrens University Australia,2021,SA,non-aligned,<5,<5
2241,University of Canberra,2021,ACT,IRU,55,6
4331,University of Divinity,2021,VIC,non-aligned,9,<5
3039,University of New England,2021,NSW,RUN,97,18
3013,University of New South Wales,2021,NSW,Go8,678,97
3014,University of Newcastle,2021,NSW,ATN,331,15
3027,University of South Australia,2021,SA,ATN,137,34
2201,University of Southern Queensland,2021,QLD,RUN,116,19
3045,University of Tasmania,2021,TAS,non-aligned,208,16
