HEP_Code,Institution,Cohort,Year,is_go8,is_covid_year,growth_hdr_completions_pct,growth_rbg_total_pct,growth_rbg_rtp_pct,growth_rbg_rsp_pct
2241,University of Canberra,IRU,2018,0,0,11.4410351177745,-1.5663625187006147,-0.09228303739909904,-3.4259274988311716
2241,University of Canberra,IRU,2019,0,0,-19.319122903085884,-3.4395570811605936,-2.1417489162445236,-5.129326812102519
2241,University of Canberra,IRU,2020,0,0,-37.32042458899429,-1.5357343175821825,-0.18795072265493928,-3.3453246352502575
2241,University of Canberra,IRU,2021,0,1,37.32042458899429,42.4555916858262,1.9074106380246647,79.93463874810462
2241,University of Canberra,IRU,2022,0,0,-14.058195062118939,-45.50289822694946,-15.905955473815858,-69.7487008284723
2241,University of Canberra,IRU,2023,0,0,46.05248852911914,-13.843612919561465,-8.731852223816539,-19.624540240010013
2241,University of Canberra,IRU,2024,0,0,-30.36824137982217,12.460044904789846,15.531973335669669,8.6633075188006
2246,Batchelor Institute of Indigenous Tertiary Education,non-aligned,2018,0,0,0.0,-13.603591006970817,-22.33015327172918,-3.4258318682672595
2246,Batchelor Institute of Indigenous Tertiary Education,non-aligned,2019,0,0,0.0,-10.227954436415132,-15.282706331631069,-5.129254014844342
2246,Batchelor Institute of Indigenous Tertiary Education,non-aligned,2020,0,0,69.31471805599453,-3.6870770820403465,-4.044773749963326,-3.3453270193172457
2246,Batchelor Institute of Indigenous Tertiary Education,non-aligned,2021,0,1,-69.31471805599453,55.25478921031137,13.359077912107509,83.4614625711108
2246,Batchelor Institute of Indigenous Tertiary Education,non-aligned,2022,0,0,-69.31471805599453,-23.595984537594994,40.790849857191525,-79.26297007872805
2246,Batchelor Institute of Indigenous Tertiary Education,non-aligned,2023,0,0,69.31471805599453,1.589530770981895,-18.365036430144954,26.57353219614258
2246,Batchelor Institute of Indigenous Tertiary Education,non-aligned,2024,0,0,69.31471805599453,26.60984747380226,4.112938933787191,44.98072693671631
3001,Charles Darwin University,non-aligned,2016,0,0,18.72115420881464,1.254588284235325,0.0,0.8005497796755634
3001,Charles Darwin University,non-aligned,2017,0,0,-15.822400521489444,10.66738987294471,1575.6938247219018,15.510953217193446
3001,Charles Darwin University,non-aligned,2018,0,0,-5.884050002293328,5.813968871909125,4.195067669047603,7.019336176887947
3001,Charles Darwin University,non-aligned,2019,0,0,37.46934494414109,6.082450106415749,3.1047474097869454,8.213335688061107
3001,Charles Darwin University,non-aligned,2020,0,0,-8.701137698963013,0.30087100405857825,1.9859327248935799,-0.8915912801345627
3001,Charles Darwin University,non-aligned,2021,0,1,12.783337150988494,46.26790229727895,1.5537535344092746,69.2871918988704
3001,Charles Darwin University,non-aligned,2022,0,0,-4.082199452025481,-46.77274534669138,3.483707533570346,-73.96932791368762
3001,Charles Darwin University,non-aligned,2023,0,0,4.082199452025481,5.498502361961499,6.008928596341789,5.092798703675783
3001,Charles Darwin University,non-aligned,2024,0,0,5.8268908123976,16.59092651907983,17.476020385714364,15.878526606637422
3003,Bond University ,non-aligned,2016,0,0,44.468582126144575,14.258723440753762,0.0,23.307155692137904
