RowKey,HEP_Code,Institution,Cohort,Year,g_rbg_total_pct,g_hdr_completions_next_year_pct
3019_2016,3019,The University of Queensland,Go8,2016,3.1928265474725492,-7.710703719449352
3019_2017,3019,The University of Queensland,Go8,2017,4.402335256237322,-16.074266150941163
3019_2018,3019,The University of Queensland,Go8,2018,1.299989848991956,25.832001011493144
3019_2019,3019,The University of Queensland,Go8,2019,-2.5756844228016718,-3.641178940871459
3019_2020,3019,The University of Queensland,Go8,2020,0.6596856512551597,13.222846084410644
3019_2022,3019,The University of Queensland,Go8,2022,-40.64256158481072,3.836787742295922
3019_2023,3019,The University of Queensland,Go8,2023,-5.94923928468738,-3.967250904962416
3020_2016,3020,La Trobe University,IRU,2016,3.570418133656972,8.989500411654738
3020_2017,3020,La Trobe University,IRU,2017,7.481372326947877,5.715841383994924
3020_2018,3020,La Trobe University,IRU,2018,5.207865424675973,-1.7241806434506124
3020_2019,3020,La Trobe University,IRU,2019,2.3371622969680317,-19.6332293863553
3020_2020,3020,La Trobe University,IRU,2020,3.1976496720325542,24.019196781599295
3020_2022,3020,La Trobe University,IRU,2022,-44.384257661115,-14.941694317705867
3020_2023,3020,La Trobe University,IRU,2023,-3.270014916400399,-5.085841723349116
3025_2016,3025,Macquarie University,non-aligned,2016,9.72298712629609,6.824910053410704
3025_2017,3025,Macquarie University,non-aligned,2017,4.991619699314853,-3.5339366445309217
3025_2018,3025,Macquarie University,non-aligned,2018,5.447625934021616,0.8952611272113664
3025_2019,3025,Macquarie University,non-aligned,2019,0.8204274213685636,-20.94234865717457
3025_2020,3025,Macquarie University,non-aligned,2020,2.614793850307251,-9.322901360050029
3025_2022,3025,Macquarie University,non-aligned,2022,-32.90934227858955,6.829963055797528
3025_2023,3025,Macquarie University,non-aligned,2023,2.4571813187129976,-7.038079676179976
3027_2016,3027,University of South Australia,ATN,2016,5.387148014514764,0.47732787526575393
3027_2017,3027,University of South Australia,ATN,2017,2.7751200865939296,-27.820332849723695
3027_2018,3027,University of South Australia,ATN,2018,-1.7647485639361804,-14.892327639210645
3027_2019,3027,University of South Australia,ATN,2019,1.5875887124941812,12.34441910911217
3027_2020,3027,University of South Australia,ATN,2020,2.4782080187627287,-9.180754925312318
3027_2022,3027,University of South Australia,ATN,2022,-52.34268672536437,10.34355872482422
3027_2023,3027,University of South Australia,ATN,2023,3.98014354889753,-5.342516667358055
3029_2016,3029,Flinders University,IRU,2016,-0.2385724133418421,-36.054342071665246
3029_2017,3029,Flinders University,IRU,2017,1.2144930851757607,34.96737484797494
3029_2018,3029,Flinders University,IRU,2018,-0.5707443383272448,-1.0989121575595284
3029_2019,3029,Flinders University,IRU,2019,-3.839549907396389,-6.269859421556401
3029_2020,3029,Flinders University,IRU,2020,-1.6874454932064964,-25.88616339162897
3029_2022,3029,Flinders University,IRU,2022,-35.20580090811798,8.004270767353638
3029_2023,3029,Flinders University,IRU,2023,13.285224105150562,14.91431580966367
3030_2016,3030,Deakin University,ATN,2016,8.106316758837906,-20.23000237248409
3030_2017,3030,Deakin University,ATN,2017,4.0709880721056635,-6.483751949530792
3030_2018,3030,Deakin University,ATN,2018,3.2080231066931475,23.73955740214111
3030_2019,3030,Deakin University,ATN,2019,4.617971224443096,-7.034148935824458
3030_2020,3030,Deakin University,ATN,2020,4.168308550607236,3.5203635192980087
3030_2022,3030,Deakin University,ATN,2022,-34.33885481196839,4.006699259688595
3030_2023,3030,Deakin University,ATN,2023,14.272281525886754,11.138463026120693
3032_2016,3032,Griffith University,IRU,2016,0.863780774314904,0.5633817718256218
3032_2017,3032,Griffith University,IRU,2017,1.9506841258380092,-7.583807639150475
3032_2018,3032,Griffith University,IRU,2018,4.119791908351544,7.864312731911305
3032_2019,3032,Griffith University,IRU,2019,1.5840944004594348,-7.561740640257586
3032_2020,3032,Griffith University,IRU,2020,0.8005730681006185,-1.5361285161487714
3032_2022,3032,Griffith University,IRU,2022,-38.506722313200825,6.5892093808703756
