HEP_Code,Institution,Cohort,Year,hdr_completions,total_completions,rbg_total,rbg_rtp,rbg_rsp,is_go8,Go8_Label,rbg_per_hdr_completion,is_covid_year
3003,Bond University ,non-aligned,2021,33.0,1796.0,4468309,1846509.0,2621800.0,0,Rest of sector,135403.30303030304,1
2200,Central Queensland University,RUN,2021,42.0,5269.0,9528892,3679941.0,5848951.0,0,Rest of sector,226878.38095238095,1
3001,Charles Darwin University,non-aligned,2021,50.0,2350.0,29063333,7766524.0,21296809.0,0,Rest of sector,581266.66,1
3005,Charles Sturt University,RUN,2021,58.0,9526.0,12258055,5998381.0,6259674.0,0,Rest of sector,211345.77586206896,1
2236,Curtin University,ATN,2021,333.0,10076.0,72099626,27825644.0,44273982.0,0,Rest of sector,216515.3933933934,1
3030,Deakin University,ATN,2021,307.0,16286.0,52346968,20453826.0,31893142.0,0,Rest of sector,170511.2964169381,1
2235,Edith Cowan University,non-aligned,2021,100.0,7539.0,14078942,6679659.0,7399283.0,0,Rest of sector,140789.42,1
2154,Federation University Australia,RUN,2021,48.0,4244.0,4854025,2273755.0,2580270.0,0,Rest of sector,101125.52083333333,1
3029,Flinders University,IRU,2021,171.0,7217.0,38410268,15336016.0,23074252.0,0,Rest of sector,224621.45029239767,1
3032,Griffith University,IRU,2021,328.0,11141.0,60950311,25290058.0,35660253.0,0,Rest of sector,185824.11890243902,1
1019,James Cook University,IRU,2021,108.0,5163.0,34361812,13828630.0,20533182.0,0,Rest of sector,318164.9259259259,1
3020,La Trobe University,IRU,2021,221.0,9505.0,53682865,19474602.0,34208263.0,0,Rest of sector,242908.89140271494,1
3025,Macquarie University,non-aligned,2021,528.0,10121.0,65806094,30649639.0,35156455.0,0,Rest of sector,124632.75378787878,1
3035,Monash University,Go8,2021,870.0,25591.0,287039990,95438167.0,191601823.0,1,Go8,329931.0229885057,1
1034,Murdoch University,IRU,2021,116.0,5328.0,26863118,10246001.0,16617117.0,0,Rest of sector,231578.60344827586,1
3042,Queensland University of Technology,non-aligned,2021,443.0,12200.0,72857176,30830953.0,42026223.0,0,Rest of sector,164463.151241535,1
3034,Royal Melbourne Institute of Technology,ATN,2021,377.0,19190.0,47926774,22010716.0,25916058.0,0,Rest of sector,127126.72148541114,1
3038,Southern Cross University,RUN,2021,56.0,4117.0,10084191,4119561.0,5964630.0,0,Rest of sector,180074.8392857143,1
2177,Swinburne University of Technology,non-aligned,2021,216.0,8225.0,30220258,12706919.0,17513339.0,0,Rest of sector,139908.60185185185,1
3033,The Australian National University,Go8,2021,384.0,6768.0,197456056,59495907.0,137960149.0,1,Go8,514208.4791666667,1
3010,The University of Adelaide,Go8,2021,376.0,8065.0,128741305,46850222.0,81891083.0,1,Go8,342397.08776595746,1
3036,The University of Melbourne,Go8,2021,728.0,22097.0,321081671,106567611.0,214514060.0,1,Go8,441046.25137362635,1
3044,The University of Notre Dame Australia,non-aligned,2021,58.0,2261.0,2343962,1214150.0,1129812.0,0,Rest of sector,40413.137931034486,1
3019,The University of Queensland,Go8,2021,672.0,14952.0,287800613,97299757.0,190500856.0,1,Go8,428274.7217261905,1
3040,The University of Sydney,Go8,2021,824.0,22376.0,274510360,91933059.0,182577301.0,1,Go8,333143.640776699,1
1055,The University of Western Australia,Go8,2021,311.0,6510.0,132531355,46116371.0,86414984.0,1,Go8,426145.83601286175,1
4449,Torrens University Australia,non-aligned,2021,4.0,5890.0,550210,130751.0,419459.0,0,Rest of sector,137552.5,1
2241,University of Canberra,IRU,2021,61.0,3847.0,13307644,5118839.0,8188805.0,0,Rest of sector,218158.09836065574,1
4331,University of Divinity,non-aligned,2021,11.0,346.0,2007726,819980.0,1187746.0,0,Rest of sector,182520.54545454544,1
3039,University of New England,RUN,2021,115.0,3801.0,24723640,9083459.0,15640181.0,0,Rest of sector,214988.1739130435,1
3013,University of New South Wales,Go8,2021,775.0,17248.0,286305869,94094591.0,192211278.0,1,Go8,369426.9277419355,1
3014,University of Newcastle,ATN,2021,346.0,7483.0,74205922,25840587.0,48365335.0,0,Rest of sector,214467.98265895955,1
3027,University of South Australia,ATN,2021,171.0,7981.0,53827128,19005310.0,34821818.0,0,Rest of sector,314778.5263157895,1
2201,University of Southern Queensland,RUN,2021,135.0,4152.0,15462126,6030159.0,9431967.0,0,Rest of sector,114534.26666666666,1
3045,University of Tasmania,non-aligned,2021,224.0,11176.0,68293104,25397277.0,42895827.0,0,Rest of sector,304879.9285714286,1
3016,University of Technology Sydney,ATN,2021,385.0,8411.0,54204501,20195726.0,34008775.0,0,Rest of sector,140790.9116883117,1
3043,University of the Sunshine Coast,RUN,2021,68.0,3156.0,16348914,4597473.0,11751441.0,0,Rest of sector,240425.20588235295,1
1058,University of Wollongong,non-aligned,2021,289.0,8513.0,56192274,24183666.0,32008608.0,0,Rest of sector,194436.93425605536,1
3007,Victoria University,non-aligned,2021,113.0,8333.0,14689845,7385389.0,7304456.0,0,Rest of sector,129998.62831858407,1
3004,Western Sydney University,IRU,2021,287.0,8225.0,30061632,12467369.0,17594263.0,0,Rest of sector,104744.36236933798,1
3006,Australian Catholic University,non-aligned,2020,53.0,7243.0,7079808,3933890.0,3145918.0,0,Rest of sector,133581.28301886792,0
2246,Batchelor Institute of Indigenous Tertiary Education,non-aligned,2020,4.0,5.0,250300,122078.0,128222.0,0,Rest of sector,62575.0,0
3003,Bond University ,non-aligned,2020,20.0,1373.0,3626847,1879535.0,1747312.0,0,Rest of sector,181342.35,0
2200,Central Queensland University,RUN,2020,43.0,6075.0,6308179,3670417.0,2637762.0,0,Rest of sector,146701.83720930232,0
3001,Charles Darwin University,non-aligned,2020,44.0,2197.0,18298120,7646784.0,10651336.0,0,Rest of sector,415866.36363636365,0
3005,Charles Sturt University,RUN,2020,76.0,10377.0,9583963,6278059.0,3305904.0,0,Rest of sector,126104.77631578948,0
2236,Curtin University,ATN,2020,348.0,9787.0,48012801,27169347.0,20843454.0,0,Rest of sector,137967.81896551725,0
3030,Deakin University,ATN,2020,247.0,13693.0,34172636,19988998.0,14183638.0,0,Rest of sector,138350.75303643724,0
2235,Edith Cowan University,non-aligned,2020,114.0,6398.0,10594045,6747402.0,3846643.0,0,Rest of sector,92930.21929824562,0
2154,Federation University Australia,RUN,2020,54.0,4407.0,3647296,2196126.0,1451170.0,0,Rest of sector,67542.51851851853,0
3029,Flinders University,IRU,2020,170.0,4862.0,26350551,15105973.0,11244578.0,0,Rest of sector,155003.2411764706,0
3032,Griffith University,IRU,2020,331.0,10107.0,41427329,24663393.0,16763936.0,0,Rest of sector,125158.09365558912,0
1019,James Cook University,IRU,2020,113.0,4836.0,25580615,14143783.0,11436832.0,0,Rest of sector,226377.1238938053,0
3020,La Trobe University,IRU,2020,189.0,9229.0,35345404,18931954.0,16413450.0,0,Rest of sector,187012.71957671957,0
3025,Macquarie University,non-aligned,2020,455.0,9084.0,45431482,29620984.0,15810498.0,0,Rest of sector,99849.41098901098,0
3035,Monash University,Go8,2020,843.0,23891.0,176665786,91723989.0,84941797.0,1,Go8,209567.95492289442,0
1034,Murdoch University,IRU,2020,109.0,5140.0,17299284,9976344.0,7322940.0,0,Rest of sector,158709.0275229358,0
3042,Queensland University of Technology,non-aligned,2020,430.0,10943.0,52474025,30903416.0,21570609.0,0,Rest of sector,122032.61627906977,0
3034,Royal Melbourne Institute of Technology,ATN,2020,355.0,18647.0,33425353,21525865.0,11899488.0,0,Rest of sector,94155.92394366197,0
3038,Southern Cross University,RUN,2020,39.0,3024.0,7109163,4204354.0,2904809.0,0,Rest of sector,182286.23076923078,0
2177,Swinburne University of Technology,non-aligned,2020,169.0,8116.0,19131951,11849456.0,7282495.0,0,Rest of sector,113206.81065088758,0
3033,The Australian National University,Go8,2020,341.0,7280.0,126141524,59083721.0,67057803.0,1,Go8,369916.4926686217,0
3010,The University of Adelaide,Go8,2020,420.0,6957.0,86300278,46680414.0,39619864.0,1,Go8,205476.8523809524,0
3036,The University of Melbourne,Go8,2020,901.0,21078.0,210568602,103597249.0,106971353.0,1,Go8,233705.44062153163,0
3044,The University of Notre Dame Australia,non-aligned,2020,57.0,2714.0,1714856,1052269.0,662587.0,0,Rest of sector,30085.19298245614,0
3019,The University of Queensland,Go8,2020,809.0,13133.0,183472303,95936204.0,87536099.0,1,Go8,226789.0024721879,0
3040,The University of Sydney,Go8,2020,731.0,16765.0,178474984,93517054.0,84957930.0,1,Go8,244151.82489740083,0
1055,The University of Western Australia,Go8,2020,311.0,6267.0,88869768,46593725.0,42276043.0,1,Go8,285754.8810289389,0
4449,Torrens University Australia,non-aligned,2020,2.0,5137.0,293490,101887.0,191603.0,0,Rest of sector,146745.0,0
2241,University of Canberra,IRU,2020,42.0,3920.0,8704000,5022127.0,3681873.0,0,Rest of sector,207238.09523809524,0
4331,University of Divinity,non-aligned,2020,7.0,443.0,1481157,831669.0,649488.0,0,Rest of sector,211593.85714285713,0
3039,University of New England,RUN,2020,102.0,3652.0,16661531,9114384.0,7547147.0,0,Rest of sector,163348.3431372549,0
3013,University of New South Wales,Go8,2020,662.0,15491.0,177882098,91086046.0,86796052.0,1,Go8,268704.0755287009,0
3014,University of Newcastle,ATN,2020,297.0,7526.0,48341662,25194502.0,23147160.0,0,Rest of sector,162766.53872053872,0
3027,University of South Australia,ATN,2020,155.0,7392.0,36525751,19622443.0,16903308.0,0,Rest of sector,235650.0064516129,0
2201,University of Southern Queensland,RUN,2020,114.0,4193.0,9274403,5569228.0,3705175.0,0,Rest of sector,81354.41228070176,0
3045,University of Tasmania,non-aligned,2020,238.0,10043.0,46966924,25009391.0,21957533.0,0,Rest of sector,197340.01680672268,0
3016,University of Technology Sydney,ATN,2020,331.0,11960.0,33010743,18602644.0,14408099.0,0,Rest of sector,99730.3413897281,0
3043,University of the Sunshine Coast,RUN,2020,53.0,2952.0,8424341,3739106.0,4685235.0,0,Rest of sector,158949.83018867925,0
1058,University of Wollongong,non-aligned,2020,245.0,8271.0,39430195,23692889.0,15737306.0,0,Rest of sector,160939.57142857142,0
3007,Victoria University,non-aligned,2020,121.0,7657.0,11397507,7496506.0,3901001.0,0,Rest of sector,94194.27272727272,0
3004,Western Sydney University,IRU,2020,225.0,8597.0,19927886,11745665.0,8182221.0,0,Rest of sector,88568.38222222222,0
3006,Australian Catholic University,non-aligned,2019,60.0,8236.0,7109846,3856906.0,3252940.0,0,Rest of sector,118497.43333333333,0
2246,Batchelor Institute of Indigenous Tertiary Education,non-aligned,2019,2.0,2.0,259701,127117.0,132584.0,0,Rest of sector,129850.5,0
3003,Bond University ,non-aligned,2019,24.0,1898.0,3689163,1882409.0,1806754.0,0,Rest of sector,153715.125,0
2200,Central Queensland University,RUN,2019,48.0,5523.0,6048449,3600656.0,2447793.0,0,Rest of sector,126009.35416666667,0
3001,Charles Darwin University,non-aligned,2019,48.0,1824.0,18243149,7496422.0,10746727.0,0,Rest of sector,380065.6041666667,0
3005,Charles Sturt University,RUN,2019,71.0,9488.0,9775148,6356780.0,3418368.0,0,Rest of sector,137678.14084507042,0
2236,Curtin University,ATN,2019,325.0,9751.0,46653491,26300178.0,20353313.0,0,Rest of sector,143549.2030769231,0
3030,Deakin University,ATN,2019,265.0,13227.0,32777494,19751088.0,13026406.0,0,Rest of sector,123688.65660377359,0
2235,Edith Cowan University,non-aligned,2019,108.0,5747.0,10750619,6773116.0,3977503.0,0,Rest of sector,99542.76851851853,0
2154,Federation University Australia,RUN,2019,40.0,3418.0,3624742,2124204.0,1500538.0,0,Rest of sector,90618.55,0
3029,Flinders University,IRU,2019,181.0,6508.0,26798975,15171865.0,11627110.0,0,Rest of sector,148060.63535911602,0
3032,Griffith University,IRU,2019,357.0,10043.0,41096997,23905484.0,17191513.0,0,Rest of sector,115117.63865546219,0
1019,James Cook University,IRU,2019,130.0,4817.0,26103331,14277427.0,11825904.0,0,Rest of sector,200794.85384615386,0
3020,La Trobe University,IRU,2019,230.0,9022.0,34233061,18340530.0,15892531.0,0,Rest of sector,148839.3956521739,0
3025,Macquarie University,non-aligned,2019,561.0,9979.0,44258939,28464054.0,15794885.0,0,Rest of sector,78892.93939393939,0
3035,Monash University,Go8,2019,856.0,23758.0,169985480,88128795.0,81856685.0,1,Go8,198581.16822429906,0
1034,Murdoch University,IRU,2019,103.0,4651.0,17313547,9741486.0,7572061.0,0,Rest of sector,168092.68932038834,0
3042,Queensland University of Technology,non-aligned,2019,426.0,11935.0,52571879,30583173.0,21988706.0,0,Rest of sector,123408.16666666667,0
3034,Royal Melbourne Institute of Technology,ATN,2019,357.0,19413.0,33438797,21145932.0,12292865.0,0,Rest of sector,93666.09803921569,0
3038,Southern Cross University,RUN,2019,35.0,3554.0,7244773,4241145.0,3003628.0,0,Rest of sector,206993.51428571428,0
2177,Swinburne University of Technology,non-aligned,2019,190.0,7556.0,17874038,11273569.0,6600469.0,0,Rest of sector,94073.88421052632,0
3033,The Australian National University,Go8,2019,404.0,7721.0,123185967,57768490.0,65417477.0,1,Go8,304915.7599009901,0
3010,The University of Adelaide,Go8,2019,402.0,6724.0,85358197,46227219.0,39130978.0,1,Go8,212333.8233830846,0
3036,The University of Melbourne,Go8,2019,966.0,22390.0,204472821,99880895.0,104591926.0,1,Go8,211669.58695652173,0
3044,The University of Notre Dame Australia,non-aligned,2019,42.0,2272.0,1547370,862242.0,685128.0,0,Rest of sector,36842.142857142855,0
3019,The University of Queensland,Go8,2019,839.0,13865.0,182265946,95788078.0,86477868.0,1,Go8,217241.8903456496,0
3040,The University of Sydney,Go8,2019,856.0,17766.0,179952223,95918046.0,84034177.0,1,Go8,210224.55957943926,0
1055,The University of Western Australia,Go8,2019,325.0,6827.0,91119779,47405537.0,43714242.0,1,Go8,280368.55076923076,0
4449,Torrens University Australia,non-aligned,2019,2.0,2910.0,227845,69046.0,158799.0,0,Rest of sector,113922.5,0
2241,University of Canberra,IRU,2019,61.0,3643.0,8838702,5031575.0,3807127.0,0,Rest of sector,144896.75409836066,0
4331,University of Divinity,non-aligned,2019,20.0,631.0,1559767,888184.0,671583.0,0,Rest of sector,77988.35,0
3039,University of New England,RUN,2019,93.0,3854.0,16457931,9093954.0,7363977.0,0,Rest of sector,176967.0,0
3013,University of New South Wales,Go8,2019,832.0,16200.0,171497997,88663435.0,82834562.0,1,Go8,206127.40024038462,0
3014,University of Newcastle,ATN,2019,252.0,6657.0,47047392,24388898.0,22658494.0,0,Rest of sector,186696.0,0
3027,University of South Australia,ATN,2019,137.0,6986.0,35631691,19633827.0,15997864.0,0,Rest of sector,260085.33576642335,0
2201,University of Southern Queensland,RUN,2019,104.0,3681.0,8616962,5309944.0,3307018.0,0,Rest of sector,82855.40384615384,0
3045,University of Tasmania,non-aligned,2019,277.0,10126.0,47368888,24664377.0,22704511.0,0,Rest of sector,171006.81588447653,0
3016,University of Technology Sydney,ATN,2019,317.0,11964.0,30648528,17385148.0,13263380.0,0,Rest of sector,96683.05362776025,0
3043,University of the Sunshine Coast,RUN,2019,87.0,3080.0,7073516,3112889.0,3960627.0,0,Rest of sector,81304.7816091954,0
1058,University of Wollongong,non-aligned,2019,273.0,7746.0,37693648,22840259.0,14853389.0,0,Rest of sector,138071.9706959707,0
3007,Victoria University,non-aligned,2019,107.0,7039.0,11508114,7474404.0,4033710.0,0,Rest of sector,107552.46728971963,0
3004,Western Sydney University,IRU,2019,233.0,9512.0,19174253,11134979.0,8039274.0,0,Rest of sector,82292.9313304721,0
3006,Australian Catholic University,non-aligned,2018,80.0,7358.0,7194818,3770671.0,3424147.0,0,Rest of sector,89935.225,0
2246,Batchelor Institute of Indigenous Tertiary Education,non-aligned,2018,2.0,,287669,148107.0,139562.0,0,Rest of sector,143834.5,0
3003,Bond University ,non-aligned,2018,27.0,1728.0,3794841,1892995.0,1901846.0,0,Rest of sector,140549.66666666666,0
2200,Central Queensland University,RUN,2018,48.0,4275.0,5781826,3404329.0,2377497.0,0,Rest of sector,120454.70833333333,0
3001,Charles Darwin University,non-aligned,2018,33.0,1708.0,17166591,7267253.0,9899338.0,0,Rest of sector,520199.7272727273,0
3005,Charles Sturt University,RUN,2018,79.0,9534.0,9977098,6378816.0,3598282.0,0,Rest of sector,126292.37974683545,0
2236,Curtin University,ATN,2018,309.0,9451.0,45602889,25859194.0,19743695.0,0,Rest of sector,147582.16504854368,0
3030,Deakin University,ATN,2018,209.0,11973.0,31298257,19598296.0,11699961.0,0,Rest of sector,149752.42583732057,0
2235,Edith Cowan University,non-aligned,2018,114.0,5774.0,11292118,7105273.0,4186845.0,0,Rest of sector,99053.66666666667,0
2154,Federation University Australia,RUN,2018,44.0,2785.0,3749191,2169677.0,1579514.0,0,Rest of sector,85208.88636363637,0
3029,Flinders University,IRU,2018,183.0,5998.0,27847944,15608881.0,12239063.0,0,Rest of sector,152174.55737704918,0
3032,Griffith University,IRU,2018,330.0,10204.0,40451111,23169577.0,17281534.0,0,Rest of sector,122579.12424242424,0
1019,James Cook University,IRU,2018,108.0,4655.0,26876338,14428018.0,12448320.0,0,Rest of sector,248854.9814814815,0
